AbsoluteProfit,RelativeProfit,Count
-31200,-1,62
-29661.18763919822,-0.9506790909999423076923076923,43
-28122.375278396437,-0.9013581819998846153846153846,43
-26583.562917594652,-0.8520372729998301282051282051,36
-25044.75055679287,-0.8027163639997724358974358974,30
-23505.93819599109,-0.7533954549997147435897435897,32
-21967.12583518931,-0.7040745459996570512820512821,28
-20428.313474387527,-0.6547536369995993589743589744,31
-18889.501113585742,-0.6054327279995416666666666667,15
-17350.688752783964,-0.5561118189994871794871794872,14
-15811.87639198218,-0.5067909099994294871794871795,5
-14273.064031180398,-0.4574700009993717948717948718,5
-12734.251670378617,-0.4081490919993141025641025641,7
-11195.439309576836,-0.3588281829992564102564102564,7
-9656.62694877505,-0.3095072739992003205128205128,7
-8117.814587973269,-0.2601863649991432692307692308,9
-6579.002227171488,-0.2108654559990862179487179487,8
-5040.189866369707,-0.1615445469990291666666666667,12
-3501.3775055679253,-0.1122236379989717948717948718,20
-1962.5651447661403,-0.0629027289989147435897435897,11
-423.75278396435897,-0.0135818199988576602564102564,13
1115.0595768374224,0.0357390890011993589743589744,12
2653.8719376392037,0.0850599980012564102564102564,16
4192.684298440989,0.1343809070013137820512820513,13
5731.496659242766,0.1837018160013708333333333333,25
7270.309020044551,0.2330227250014278846153846154,28
8809.121380846329,0.2823436340014849358974358974,29
10347.933741648114,0.3316645430015416666666666667,35
11886.746102449899,0.3809854520015993589743589744,36
13425.558463251677,0.4303063610016570512820512821,37
14964.370824053462,0.4796272700017147435897435897,35
16503.18318485524,0.5289481790017692307692307692,32
18041.995545657024,0.5782690880018269230769230769,49
19580.80790645881,0.6275899970018846153846153846,47
21119.620267260587,0.6769109060019423076923076923,52
22658.43262806237,0.726231815002,49
24197.24498886415,0.7755527240020576923076923077,44
25736.057349665934,0.8248736330021121794871794872,50
27274.86971046772,0.8741945420021698717948717949,49
28813.682071269497,0.9235154510022275641025641026,46
30352.494432071282,0.9728363600022852564102564103,46
31891.30679287306,1.0221572690023429487179487179,40
33430.119153674845,1.0714781780023974358974358974,61
34968.93151447663,1.1207990870024551282051282051,55
36507.74387527841,1.1701199960025128205128205128,59
38046.556236080185,1.2194409050025705128205128205,34
39585.36859688198,1.2687618140026282051282051282,49
41124.180957683755,1.3180827230026858974358974359,54
42662.99331848553,1.3674036320027403846153846154,59
44201.805679287325,1.4167245410027980769230769231,61
45740.6180400891,1.4660454500028557692307692308,58
47279.43040089088,1.5153663590029134615384615385,37
48818.24276169266,1.5646872680029711538461538462,39
50357.05512249445,1.6140081770030256410256410256,34
51895.86748329623,1.6633290860030833333333333333,29
53434.679844098006,1.712649995003141025641025641,25
54973.4922048998,1.7619709040031987179487179487,40
56512.304565701575,1.8112918130032564102564102564,25
58051.11692650335,1.8606127220033141025641025641,45
59589.929287305145,1.9099336310033717948717948718,32
61128.74164810692,1.9592545400034262820512820513,33
62667.5540089087,2.008575449003483974358974359,30
64206.36636971048,2.0578963580035416666666666667,30
65745.17873051227,2.1072172670035993589743589744,33
67283.99109131405,2.1565381760036538461538461538,29
68822.80345211583,2.2058590850037115384615384615,31
70361.61581291762,2.2551799940037692307692307692,22
71900.4281737194,2.3045009030038269230769230769,29
73439.24053452117,2.3538218120038846153846153846,25
74978.05289532295,2.4031427210039423076923076923,31
76516.86525612474,2.452463630004,27
78055.67761692652,2.5017845390040544871794871795,24
79594.4899777283,2.5511054480041121794871794872,22
81133.30233853009,2.6004263570041698717948717949,17
82672.11469933187,2.6497472660042275641025641026,20
84210.92706013365,2.6990681750042820512820512821,12
85749.73942093544,2.7483890840043397435897435897,26
87288.55178173722,2.7977099930043974358974358974,15
88827.364142539,2.8470309020044551282051282051,19
90366.17650334077,2.8963518110045128205128205128,29
91904.98886414256,2.9456727200045705128205128205,20
93443.80122494434,2.9949936290046282051282051282,27
94982.61358574612,3.0443145380046826923076923077,22
96521.42594654791,3.0936354470047403846153846154,14
98060.23830734969,3.1429563560047980769230769231,27
99599.05066815147,3.1922772650048557692307692308,23
101137.86302895326,3.2415981740049038461538461538,15
102676.67538975502,3.2909190830049679487179487179,19
104215.48775055681,3.3402399920050320512820512821,18
105754.3001113586,3.3895609010050961538461538462,19
107293.11247216037,3.4388818100051282051282051282,24
108831.92483296216,3.4882027190051923076923076923,23
110370.73719376395,3.5375236280052564102564102564,13
111909.54955456572,3.5868445370053205128205128205,22
113448.36191536751,3.6361654460053846153846153846,21
114987.1742761693,3.6854863550054166666666666667,35
116525.98663697107,3.7348072640054807692307692308,33
118064.79899777286,3.7841281730055448717948717949,27
119603.61135857465,3.833449082005608974358974359,23
121142.42371937641,3.882769991005641025641025641,23
122681.2360801782,3.9320909000057051282051282051,27
124220.04844097997,3.9814118090057692307692307692,27
125758.86080178176,4.0307327180058333333333333333,20
127297.67316258355,4.0800536270058974358974358974,20
128836.48552338532,4.1293745360059294871794871795,21
130375.29788418711,4.1786954450059935897435897436,21
131914.1102449889,4.2280163540060576923076923077,22
133452.92260579066,4.2773372630061217948717948718,19
134991.73496659246,4.3266581720061538461538461538,21
136530.54732739425,4.3759790810062179487179487179,21
138069.359688196,4.4252999900062820512820512821,28
139608.1720489978,4.4746208990063461538461538462,16
141146.9844097996,4.5239418080064102564102564103,14
142685.79677060136,4.5732627170064423076923076923,11
144224.60913140315,4.6225836260065064102564102564,14
145763.42149220494,4.6719045350065705128205128205,11
147302.2338530067,4.7212254440066346153846153846,14
148841.0462138085,4.7705463530066666666666666667,15
150379.8585746103,4.8198672620067307692307692308,14
151918.67093541205,4.8691881710067948717948717949,19
153457.48329621385,4.918509080006858974358974359,10
154996.2956570156,4.9678299890069230769230769231,15
156535.1080178174,5.0171508980069551282051282051,8
158073.9203786192,5.0664718070070192307692307692,20
159612.73273942096,5.1157927160070833333333333333,11
161151.54510022275,5.1651136250071474358974358974,8
162690.35746102454,5.2144345340072115384615384615,10
164229.1698218263,5.2637554430072435897435897436,10
165767.9821826281,5.3130763520073076923076923077,6
167306.7945434299,5.3623972610073717948717948718,9
168845.60690423165,5.4117181700074358974358974359,10
170384.41926503344,5.4610390790074679487179487179,8
171923.23162583524,5.5103599880075320512820512821,4
173462.043986637,5.5596808970075961538461538462,6
175000.8563474388,5.6090018060076602564102564103,4
176539.66870824058,5.6583227150077243589743589744,6
178078.48106904235,5.7076436240077564102564102564,8
179617.29342984414,5.7569645330078205128205128205,8
181156.1057906459,5.8062854420078846153846153846,12
182694.9181514477,5.8556063510079487179487179487,9
184233.7305122495,5.9049272600080128205128205128,12
185772.54287305125,5.9542481690080448717948717949,8
187311.35523385304,6.003569078008108974358974359,3
188850.16759465483,6.0528899870081730769230769231,5
190388.9799554566,6.1022108960082371794871794872,5
191927.7923162584,6.1515318050082692307692307692,4
193466.60467706018,6.2008527140083333333333333333,9
195005.41703786195,6.2501736230083974358974358974,2
196544.22939866374,6.2994945320084615384615384615,6
198083.04175946553,6.3488154410085256410256410256,1
199621.8541202673,6.3981363500085576923076923077,4
201160.66648106909,6.4474572590086217948717948718,6
202699.47884187088,6.4967781680086858974358974359,3
204238.29120267264,6.54609907700875,3
205777.10356347443,6.5954199860087820512820512821,6
207315.91592427623,6.6447408950088461538461538462,3
208854.728285078,6.6940618040089102564102564103,0
210393.54064587978,6.7433827130089743589743589744,0
211932.35300668154,6.7927036220090384615384615385,1
213471.16536748334,6.8420245310090705128205128205,3
215009.97772828513,6.8913454400091346153846153846,2
216548.7900890869,6.9406663490091987179487179487,0
218087.60244988868,6.9899872580092628205128205128,4
219626.41481069048,7.0393081670092948717948717949,1
