AbsoluteProfit,RelativeProfit,Count
-5150,-1,1598
-4091.884486552018,-0.7945406770003922330097087379,399
-3033.7689731040364,-0.5890813540007844660194174757,301
-1975.6534596560546,-0.3836220310011747572815533981,556
-917.5379462080728,-0.1781627080015675728155339806,574
140.5775672399086,0.0272966149980405825242718447,598
1198.6930806878909,0.2327559379976485436893203883,651
2256.808594135873,0.4382152609972563106796116505,706
3314.9241075838545,0.6436745839968640776699029126,725
4373.039621031836,0.8491339069964737864077669903,573
5431.155134479817,1.0545932299960815533980582524,633
6489.2706479278,1.2600525529956893203883495146,421
7547.386161375782,1.4655118759952970873786407767,461
8605.501674823763,1.6709711989949048543689320388,498
9663.617188271746,1.8764305219945145631067961165,401
10721.732701719728,2.081889844994116504854368932,384
11779.848215167709,2.2873491679937281553398058252,444
12837.96372861569,2.4928084909933398058252427184,420
13896.079242063672,2.6982678139929514563106796117,394
14954.194755511653,2.9037271369925631067961165049,320
16012.310268959634,3.1091864599921553398058252427,335
17070.42578240762,3.3146457829917669902912621359,322
18128.5412958556,3.5201051059913786407766990291,251
19186.656809303582,3.7255644289909902912621359223,236
20244.772322751563,3.9310237519906019417475728155,187
21302.887836199545,4.1364830749901941747572815534,142
22361.003349647526,4.3419423979898058252427184466,135
23419.118863095508,4.5474017209894174757281553398,71
24477.234376543493,4.752861043989029126213592233,86
25535.349889991474,4.9583203669886407766990291262,94
26593.465403439455,5.1637796899882524271844660194,95
27651.580916887433,5.3692390129878446601941747573,56
28709.696430335418,5.5746983359874563106796116505,51
29767.811943783403,5.7801576589870679611650485437,34
30825.92745723138,5.9856169819866796116504854369,30
31884.042970679366,6.1910763049862912621359223301,21
32942.15848412734,6.396535627985883495145631068,25
34000.27399757533,6.6019949509854951456310679612,26
35058.389511023306,6.8074542739851067961165048544,14
36116.50502447129,7.0129135969847184466019417476,9
37174.62053791927,7.2183729199843300970873786408,5
38232.736051367254,7.423832242983941747572815534,2
39290.85156481524,7.6292915659835339805825242718,8
40348.96707826322,7.834750888983145631067961165,4
41407.0825917112,8.040210211982757281553398058,2
42465.19810515918,8.245669534982368932038834951,1
43523.313618607164,8.451128857981980582524271845,4
44581.42913205514,8.656588180981572815533980583,1
45639.54464550313,8.862047503981184466019417476,1
46697.66015895111,9.067506826980796116504854369,4
47755.77567239909,9.272966149980407766990291262,4
48813.891185847075,9.478425472980019417475728155,1
49872.00669929505,9.683884795979611650485436893,2
50930.12221274304,9.889344118979223300970873786,1
51988.237726191015,10.09480344197883495145631068,2
53046.353239639,10.300262764978446601941747573,0
54104.468753086985,10.505722087978058252427184466,2
55162.58426653496,10.711181410977669902912621359,2
56220.69977998295,10.916640733977281553398058252,1
57278.815293430926,11.12210005697687378640776699,3
58336.93080687891,11.327559379976485436893203883,1
59395.04632032689,11.533018702976097087378640777,1
60453.161833774866,11.73847802597570873786407767,1
61511.27734722286,11.943937348975320388349514563,4
62569.392860670836,12.149396671974912621359223301,1
63627.508374118814,12.354855994974524271844660194,1
64685.623887566806,12.560315317974135922330097087,2
65743.73940101478,12.765774640973747572815533981,2
66801.85491446276,12.971233963973359223300970874,0
67859.97042791074,13.176693286972951456310679612,2
68918.08594135873,13.382152609972563106796116505,1
69976.20145480671,13.587611932972174757281553398,2
71034.31696825469,13.793071255971786407766990291,4
72092.43248170268,13.998530578971398058252427184,4
73150.54799515066,14.203989901970990291262135922,6
74208.66350859863,14.409449224970601941747572816,4
75266.77902204661,14.614908547970213592233009709,7
76324.8945354946,14.820367870969825242718446602,2
77383.01004894258,15.025827193969436893203883495,4
78441.12556239056,15.231286516969048543689320388,0
79499.24107583854,15.436745839968640776699029126,6
80557.35658928653,15.642205162968252427184466019,0
81615.47210273451,15.847664485967864077669902913,3
82673.58761618249,16.053123808967475728155339806,0
83731.70312963048,16.258583131967087378640776699,1
84789.81864307846,16.464042454966679611650485437,0
85847.93415652643,16.66950177796629126213592233,2
86906.04966997441,16.874961100965902912621359223,0
87964.1651834224,17.080420423965514563106796117,0
89022.28069687038,17.28587974696512621359223301,0
90080.39621031836,17.491339069964737864077669903,1
91138.51172376635,17.696798392964349514563106796,0
92196.62723721433,17.902257715963941747572815534,1
93254.7427506623,18.107717038963553398058252427,0
94312.85826411028,18.31317636196316504854368932,0
95370.97377755828,18.518635684962776699029126214,1
96429.08929100625,18.724095007962368932038834951,1
97487.20480445423,18.929554330961980582524271845,1
98545.32031790222,19.135013653961592233009708738,0
99603.4358313502,19.340472976961203883495145631,0
100661.55134479818,19.545932299960776699029126214,1
