AbsoluteProfit,RelativeProfit,Count
-4873.902651021297,-1,21
-4441.008836092376,-0.8623318128334718446601941748,38
-4008.1150211634554,-0.7782747613909631067961165049,85
-3575.2212062345347,-0.694217709948454368932038835,69
-3142.3273913056137,-0.6101606585059436893203883495,60
-2709.433576376693,-0.5261036070634349514563106796,47
-2276.5397614477724,-0.4420465556209262135922330097,20
-1843.6459465188514,-0.3579895041784174757281553398,11
-1410.7521315899307,-0.2739324527359087378640776699,14
-977.8583166610101,-0.1898754012934,18
-544.964501732089,-0.1058183498508910679611650485,34
-112.07068680316843,-0.0217612984083821359223300971,22
320.8231281257522,0.0622957530341266019417475728,28
753.7169430546728,0.1463528044766355339805825243,41
1186.6107579835943,0.2304098559191436893203883495,62
1619.504572912515,0.314466907361654368932038835,73
2052.3983878414356,0.3985239588041631067961165049,66
2485.292202770356,0.4825810102466718446601941748,80
2918.186017699277,0.5666380616891805825242718447,94
3351.0798326281983,0.6506951131316893203883495146,85
3783.973647557119,0.7347521645741980582524271845,95
4216.86746248604,0.8188092160167067961165048544,84
4649.76127741496,0.9028662674592155339805825243,105
5082.655092343881,0.9869233189017242718446601942,103
5515.548907272801,1.0709803703442330097087378641,89
5948.442722201722,1.155037421786741747572815534,110
6381.336537130643,1.2390944732292504854368932039,101
6814.230352059565,1.3231515246717592233009708738,62
7247.124166988486,1.4072085761142699029126213592,51
7680.017981917406,1.4912656275567786407766990291,49
8112.911796846327,1.575322678999287378640776699,52
8545.805611775248,1.6593797304417961165048543689,51
8978.699426704168,1.7434367818843048543689320388,45
9411.593241633089,1.8274938333268135922330097087,52
9844.48705656201,1.9115508847693223300970873786,49
10277.38087149093,1.9956079362118252427184466019,47
10710.27468641985,2.0796649876543300970873786408,48
11143.168501348771,2.163722039096854368932038835,33
11576.062316277694,2.2477790905393592233009708738,32
12008.956131206614,2.3318361419818640776699029126,37
12441.849946135535,2.4158931934243689320388349515,44
12874.743761064456,2.4999502448668932038834951456,45
13307.637575993376,2.5840072963093980582524271845,31
13740.531390922297,2.6680643477519029126213592233,44
14173.425205851217,2.7521213991944077669902912621,36
14606.319020780138,2.836178450636912621359223301,39
15039.212835709059,2.9202355020794368932038834951,42
15472.10665063798,3.004292553521941747572815534,36
15905.0004655669,3.0883496049644466019417475728,66
16337.89428049582,3.1724066564069514563106796117,55
16770.78809542474,3.2564637078494563106796116505,44
17203.68191035366,3.3405207592919805825242718447,50
17636.575725282582,3.4245778107344854368932038835,42
18069.469540211503,3.5086348621769902912621359223,45
18502.363355140427,3.5926919136194951456310679612,40
18935.257170069348,3.676748965062,51
19368.15098499827,3.7608060165045242718446601942,33
19801.04479992719,3.844863067947029126213592233,25
20233.93861485611,3.9289201193895339805825242718,23
20666.83242978503,4.0129771708320388349514563107,33
21099.72624471395,4.0970342222745631067961165049,28
21532.62005964287,4.1810912737170679611650485437,25
21965.513874571792,4.2651483251595728155339805825,31
22398.407689500713,4.3492053766020776699029126214,19
22831.301504429633,4.4332624280445825242718446602,17
23264.195319358554,4.5173194794871067961165048544,16
23697.089134287475,4.6013765309296116504854368932,15
24129.982949216395,4.685433582372116504854368932,10
24562.876764145316,4.7694906338146213592233009709,14
24995.770579074237,4.8535476852571262135922330097,20
25428.664394003157,4.9376047366996504854368932039,21
25861.558208932078,5.0216617881421553398058252427,11
26294.452023861,5.1057188395846601941747572816,11
26727.34583878992,5.1897758910271650485436893204,13
27160.23965371884,5.2738329424696699029126213592,7
27593.133468647764,5.3578899939121941747572815534,7
28026.027283576685,5.4419470453546990291262135922,8
28458.9210985056,5.5260040967972038834951456311,8
28891.814913434526,5.6100611482397087378640776699,3
29324.708728363443,5.6941181996822135922330097087,2
29757.602543292367,5.7781752511247378640776699029,4
30190.496358221284,5.8622323025672427184466019417,5
30623.39017315021,5.9462893540097475728155339806,1
31056.283988079125,6.0303464054522524271844660194,1
31489.17780300805,6.1144034568947572815533980583,3
31922.071617936967,6.1984605083372815533980582524,0
32354.96543286589,6.2825175597797864077669902913,1
32787.85924779481,6.3665746112222912621359223301,1
33220.75306272373,6.4506316626647961165048543689,2
33653.64687765266,6.5346887141073203883495145631,1
34086.54069258158,6.6187457655498252427184466019,2
34519.434507510494,6.7028028169923300970873786408,0
34952.32832243941,6.7868598684348349514563106796,0
35385.22213736834,6.8709169198773398058252427184,1
35818.11595229726,6.9549739713198640776699029126,0
36251.009767226176,7.0390310227623689320388349515,0
36683.90358215509,7.1230880742048737864077669903,0
37116.797397084025,7.2071451256473786407766990291,0
37549.69121201294,7.291202177089883495145631068,0
37982.58502694186,7.3752592285324077669902912621,0
38415.478841870776,7.459316279974912621359223301,1
