BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15836,10, ,B2,314 BEACH 45TH STREET                    ,            ,11691,2,0,2,2269,1316,1920,1,B2,0,2011-01-01
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15838,6, ,B1,320 BEACH 47TH STREET                    ,            ,11691,2,0,2,2805,2234,2004,1,B1,199000,2011-12-19
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15838,6, ,B1,320 BEACH 47TH STREET                    ,            ,11691,2,0,2,2805,2234,2004,1,B1,110000,2011-11-21
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15838,49, ,B9,335 BEACH 46 STREET                      ,            ,11691,2,0,2,3804,656,1920,1,B9,130980,2011-07-15
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15838,76, ,B9,314 BEACH 47 STREET                      ,            ,11691,2,0,2,2871,1840,1960,1,B9,275000,2011-08-09
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15848,45, ,B3,216 BEACH 40TH STREET                    ,            ,11691,2,0,2,2837,1308,1920,1,B3,65000,2011-12-28
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15848,45, ,B3,216 BEACH 40TH STREET                    ,            ,11691,2,0,2,2837,1308,1920,1,B3,10,2011-05-24
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15848,48, ,B1,222 BEACH 40 STREET                      ,            ,11691,2,0,2,3055,2240,2004,1,B1,0,2011-04-22
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15897,139, ,B2,57-31 ARVERNE BOULEVARD                  ,            ,11692,2,0,2,2800,2000,2003,1,B2,291500,2011-01-07
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,198, ,B2,6424 OCEAN AVE SOUTH                     ,            ,11692,2,0,2,2120,3140,2011,1,B2,672045,2011-11-22
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,201, ,B2,6502 OCEAN AVE SOUTH                     ,            ,11692,2,0,2,3045,2419,2011,1,B2,627242,2011-10-31
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,202, ,B2,6504 OCEAN AVENUE SOUTH                  ,            ,11692,2,0,2,2120,3140,2011,1,B2,640479,2011-08-05
