BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIALUNITS,COMMERCIALUNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASSAT TIME OF SALE,SALE PRICE,SALE DATE
,,,,,,,,,,,,,,,,,,,,
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391.0,10.0,,A5,4724 AMBOY ROAD,,10312.0,1.0,0.0,1.0,2997.0,910.0,2002.0,1.0,A5,0.0,2021-08-31
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5396.0,41.0,,A1,21 TALLMAN STREET,,10312.0,1.0,0.0,1.0,9968.0,3940.0,1990.0,1.0,A1,0.0,2021-03-19
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5397.0,30.0,,A1,5 EYLANDT STREET,,10312.0,1.0,0.0,1.0,10120.0,3000.0,1984.0,1.0,A1,0.0,2021-03-04
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398.0,35.0,,A2,195 HAROLD AVENUE,,10312.0,1.0,0.0,1.0,10296.0,3770.0,1984.0,1.0,A2,1170000.0,2021-07-16
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5401.0,5.0,,A2,28 JANSEN STREET,,10312.0,1.0,0.0,1.0,10800.0,2164.0,1980.0,1.0,A2,0.0,2021-12-09
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5401.0,42.0,,A2,265 HAROLD AVENUE,,10312.0,1.0,0.0,1.0,8190.0,2100.0,1980.0,1.0,A2,925000.0,2021-10-29
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403.0,1.0,,A1,268 SHIRLEY AVENUE,,10312.0,1.0,0.0,1.0,6900.0,902.0,1920.0,1.0,A1,555000.0,2021-11-01
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404.0,1.0,,A1,114 NOEL STREET,,10312.0,1.0,0.0,1.0,7904.0,3000.0,1999.0,1.0,A1,1300000.0,2021-10-18
5.0,ANNADALE,01 ONE FAMILY DWELLINGS,1,5407.0,6.0,,A1,118 ELMBANK STREET,,10312.0,1.0,0.0,1.0,6200.0,2580.0,1975.0,1.0,A1,0.0,2021-02-17
