BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIALUNITS,COMMERCIALUNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASSAT TIME OF SALE,SALE PRICE,SALE DATE
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3029.0,36.0,,A5,418 EAST 180 STREET,,10457.0,1.0,0.0,1.0,1568.0,1526.0,1899.0,1.0,A5,0.0,2020-07-09
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030.0,65.0,,A1,4455 PARK AVENUE,,10457.0,1.0,0.0,1.0,1622.0,1587.0,1899.0,1.0,A1,458000.0,2020-01-31
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030.0,67.0,,A1,4451 PARK AVENUE,,10457.0,1.0,0.0,1.0,1646.0,1495.0,1899.0,1.0,A1,275000.0,2020-03-16
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030.0,67.0,,A1,4451 PARK AVENUE,,10457.0,1.0,0.0,1.0,1646.0,1495.0,1899.0,1.0,A1,475000.0,2020-07-23
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039.0,29.0,,A9,2327 WASHINGTON AVE,,10458.0,1.0,0.0,1.0,1095.0,1260.0,1910.0,1.0,A9,165000.0,2020-03-02
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3045.0,12.0,,A1,2052 BATHGATE AVENUE,,10457.0,1.0,0.0,1.0,2340.0,1516.0,1910.0,1.0,A1,289000.0,2020-08-25
2.0,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046.0,52.0,,B3,2047 BATHGATE AVENUE,,10457.0,2.0,0.0,2.0,2329.0,1431.0,1901.0,1.0,A1,526000.0,2020-09-22
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912.0,118.0,,B1,1540 WASHINGTON AVENUE,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,0.0,2020-06-24
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912.0,130.0,,B1,482 CLAREMONT PARKWAY,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1.0,B1,0.0,2020-03-17
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2927.0,131.0,,B1,1465 CROTONA PLACE,,10456.0,2.0,0.0,2.0,1900.0,2394.0,1994.0,1.0,B1,0.0,2020-08-27
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929.0,114.0,,B1,3854 3 AVENUE,,10457.0,2.0,0.0,2.0,2883.0,2394.0,1995.0,1.0,B1,0.0,2020-04-06
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929.0,128.0,,B1,559 CLAREMONT PARKWAY,,10457.0,2.0,0.0,2.0,2361.0,2394.0,1995.0,1.0,B1,0.0,2020-02-26
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3027.0,26.0,,B2,414 EAST 178 STREET,,10457.0,2.0,0.0,2.0,2000.0,2364.0,1899.0,1.0,B2,734000.0,2020-04-22
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3034.0,138.0,,B1,1937 WASHINGTON AVE,,10457.0,2.0,0.0,2.0,2250.0,3204.0,1995.0,1.0,B1,645000.0,2020-01-28
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3035.0,136.0,,B1,1991 WASHINGTON AVENUE,,10457.0,2.0,0.0,2.0,2910.0,3240.0,1998.0,1.0,B1,0.0,2020-08-24
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037.0,32.0,,B3,455 EAST 180 STREET,,10457.0,2.0,0.0,2.0,1826.0,1296.0,1899.0,1.0,B3,455000.0,2020-07-09
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3041.0,7.0,,S2,444 CYRUS PLACE,,10458.0,2.0,1.0,3.0,2467.0,1900.0,1910.0,1.0,S2,412500.0,2020-12-09
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3046.0,5.0,,B1,2024 WASHINGTON AVE,,10457.0,2.0,0.0,2.0,1907.0,2901.0,2000.0,1.0,B1,625000.0,2020-09-03
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3046.0,54.0,,B2,2043 BATHGATE AVENUE,,10457.0,2.0,0.0,2.0,2483.0,1512.0,1901.0,1.0,B2,461370.0,2020-01-27
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3047.0,17.0,,B3,2123 BATHGATE AVE,,10457.0,2.0,0.0,2.0,2500.0,1404.0,1901.0,1.0,B3,629000.0,2020-04-24
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050.0,90.0,,B2,505 EAST 182 STREET,,10457.0,2.0,0.0,2.0,1960.0,2278.0,1901.0,1.0,B2,0.0,2020-06-26
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053.0,4.0,,B1,507 EAST 183RD STREET,,10458.0,2.0,0.0,2.0,1380.0,2805.0,1901.0,1.0,B1,0.0,2020-10-22
2.0,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053.0,7.0,,B2,2306 BASSFORD AVENUE,,10458.0,2.0,0.0,2.0,2085.0,3374.0,1901.0,1.0,B2,750000.0,2020-10-09
